mean of forward measurement times = 0.106535
std. dev of forward measurement times = 0.148278
mean of backward measurement times = 0.003476
std. dev of backward measurement times = 0.001453
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          backward pass        28.77%      15.088ms        28.89%      15.153ms       5.051ms       0.000us         0.00%       3.000us       1.000us             3  
                                         optimizer pass         0.18%      95.000us        25.58%      13.417ms       4.472ms       0.000us         0.00%       2.438ms     812.667us             3  
                              Optimizer.step#AdamW.step         6.52%       3.421ms        25.40%      13.322ms       4.441ms       0.000us         0.00%       2.438ms     812.667us             3  
                                           forward pass         3.68%       1.932ms        15.84%       8.305ms       2.768ms       0.000us         0.00%       1.007ms     335.667us             3  
                                              aten::mul         6.48%       3.396ms        10.78%       5.653ms      10.241us       1.154ms        24.64%       1.263ms       2.288us           552  
                                       cudaLaunchKernel        10.63%       5.573ms        10.63%       5.573ms       3.220us     380.000us         8.11%     380.000us       0.220us          1731  
                                               aten::mm         3.57%       1.870ms         5.11%       2.679ms      22.897us       1.023ms        21.84%       1.103ms       9.427us           117  
                                              aten::add         2.81%       1.476ms         4.69%       2.459ms      10.246us     476.000us        10.16%     518.000us       2.158us           240  
                                           aten::matmul         0.50%     264.000us         4.58%       2.402ms      47.098us       0.000us         0.00%     609.000us      11.941us            51  
       autograd::engine::evaluate_function: MmBackward0         0.25%     130.000us         4.29%       2.248ms      57.641us       0.000us         0.00%     612.000us      15.692us            39  
                                            MmBackward0         0.60%     314.000us         3.93%       2.061ms      52.846us       0.000us         0.00%     591.000us      15.154us            39  
                                       aten::zeros_like         0.66%     347.000us         3.57%       1.873ms      16.430us       0.000us         0.00%     191.000us       1.675us           114  
                                       aten::pin_memory         0.04%      21.000us         3.57%       1.871ms     311.833us       0.000us         0.00%       0.000us       0.000us             6  
                                        aten::is_pinned         3.34%       1.749ms         3.36%       1.762ms     293.667us       0.000us         0.00%       0.000us       0.000us             6  
                                           aten::linear         0.37%     193.000us         3.29%       1.726ms      44.256us       0.000us         0.00%     459.000us      11.769us            39  
      autograd::engine::evaluate_function: MulBackward0         0.60%     317.000us         3.08%       1.614ms      38.429us       0.000us         0.00%     279.000us       6.643us            42  
                                              aten::pow         1.85%     971.000us         2.76%       1.450ms      13.426us     193.000us         4.12%     236.000us       2.185us           108  
                                              aten::div         1.80%     946.000us         2.63%       1.378ms      10.937us     269.000us         5.74%     297.000us       2.357us           126  
                                          aten::reshape         0.61%     321.000us         2.27%       1.190ms       5.749us       0.000us         0.00%      85.000us       0.411us           207  
                                            aten::zero_         0.49%     259.000us         2.08%       1.093ms       8.280us       0.000us         0.00%     229.000us       1.735us           132  
