mean of forward measurement times = 0.108758
std. dev of forward measurement times = 0.151425
mean of backward measurement times = 0.003445
std. dev of backward measurement times = 0.001444
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          backward pass        28.65%      15.087ms        28.78%      15.153ms       5.051ms       0.000us         0.00%       3.000us       1.000us             3  
                                         optimizer pass         0.19%     101.000us        25.77%      13.570ms       4.523ms       0.000us         0.00%       2.433ms     811.000us             3  
                              Optimizer.step#AdamW.step         6.31%       3.323ms        25.58%      13.469ms       4.490ms       0.000us         0.00%       2.433ms     811.000us             3  
                                           forward pass         3.81%       2.008ms        15.91%       8.376ms       2.792ms       0.000us         0.00%       1.004ms     334.667us             3  
                                              aten::mul         6.54%       3.445ms        10.82%       5.700ms      10.383us       1.148ms        24.53%       1.255ms       2.286us           549  
                                       cudaLaunchKernel        10.39%       5.470ms        10.39%       5.470ms       3.160us     377.000us         8.06%     379.000us       0.219us          1731  
                                               aten::mm         3.55%       1.867ms         5.08%       2.673ms      22.846us       1.020ms        21.79%       1.100ms       9.402us           117  
                                              aten::add         2.84%       1.494ms         4.70%       2.474ms      10.308us     473.000us        10.11%     515.000us       2.146us           240  
                                           aten::matmul         0.54%     282.000us         4.56%       2.403ms      47.118us       0.000us         0.00%     607.000us      11.902us            51  
       autograd::engine::evaluate_function: MmBackward0         0.32%     166.000us         4.23%       2.230ms      57.179us       0.000us         0.00%     611.000us      15.667us            39  
                                            MmBackward0         0.52%     273.000us         3.89%       2.048ms      52.513us       0.000us         0.00%     599.000us      15.359us            39  
                                       aten::zeros_like         0.73%     384.000us         3.61%       1.903ms      16.693us       0.000us         0.00%     187.000us       1.640us           114  
                                       aten::pin_memory         0.04%      23.000us         3.61%       1.899ms     316.500us       0.000us         0.00%       0.000us       0.000us             6  
                                        aten::is_pinned         3.37%       1.773ms         3.39%       1.784ms     297.333us       0.000us         0.00%       0.000us       0.000us             6  
                                           aten::linear         0.26%     137.000us         3.28%       1.729ms      44.333us       0.000us         0.00%     479.000us      12.282us            39  
      autograd::engine::evaluate_function: MulBackward0         0.63%     332.000us         3.08%       1.620ms      38.571us       0.000us         0.00%     278.000us       6.619us            42  
                                              aten::pow         1.87%     987.000us         2.78%       1.466ms      13.574us     194.000us         4.15%     237.000us       2.194us           108  
                                              aten::div         1.85%     975.000us         2.64%       1.392ms      11.048us     270.000us         5.77%     298.000us       2.365us           126  
                                          aten::reshape         0.65%     341.000us         2.26%       1.191ms       5.754us       0.000us         0.00%      85.000us       0.411us           207  
                                            aten::clone         0.34%     179.000us         2.05%       1.080ms      18.000us       0.000us         0.00%     112.000us       1.867us            60  
