mean of forward measurement times = 0.107409
std. dev of forward measurement times = 0.149464
mean of backward measurement times = 0.003508
std. dev of backward measurement times = 0.001511
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                         optimizer pass         0.29%     113.000us        37.19%      14.263ms       4.754ms       0.000us         0.00%       2.458ms     819.333us             3  
                              Optimizer.step#AdamW.step         8.99%       3.448ms        36.89%      14.150ms       4.717ms       0.000us         0.00%       2.458ms     819.333us             3  
                                           forward pass         5.13%       1.968ms        22.17%       8.502ms       2.834ms       0.000us         0.00%       1.024ms     341.333us             3  
                                              aten::mul         9.19%       3.525ms        15.08%       5.784ms      10.478us       1.151ms        24.41%       1.250ms       2.264us           552  
                                       cudaLaunchKernel        14.84%       5.691ms        14.84%       5.691ms       3.288us     366.000us         7.76%     366.000us       0.211us          1731  
                                              aten::add         3.83%       1.470ms         8.30%       3.183ms      13.262us     473.000us        10.03%     507.000us       2.112us           240  
                                               aten::mm         4.95%       1.899ms         7.08%       2.714ms      23.197us       1.022ms        21.68%       1.091ms       9.325us           117  
                                           aten::matmul         0.74%     282.000us         6.34%       2.433ms      47.706us       0.000us         0.00%     614.000us      12.039us            51  
       autograd::engine::evaluate_function: MmBackward0         0.44%     170.000us         5.84%       2.240ms      57.436us       0.000us         0.00%     598.000us      15.333us            39  
                                            MmBackward0         0.69%     263.000us         5.36%       2.054ms      52.667us       0.000us         0.00%     590.000us      15.128us            39  
                                       aten::pin_memory         0.07%      25.000us         4.92%       1.888ms     314.667us       0.000us         0.00%       0.000us       0.000us             6  
                                       aten::zeros_like         0.86%     328.000us         4.76%       1.825ms      16.009us       0.000us         0.00%     191.000us       1.675us           114  
                                        aten::is_pinned         4.56%       1.750ms         4.60%       1.764ms     294.000us       0.000us         0.00%       0.000us       0.000us             6  
                                           aten::linear         0.60%     230.000us         4.56%       1.749ms      44.846us       0.000us         0.00%     442.000us      11.333us            39  
                                             cudaMalloc         4.45%       1.708ms         4.45%       1.708ms     189.778us       0.000us         0.00%       2.000us       0.222us             9  
      autograd::engine::evaluate_function: MulBackward0         0.69%     265.000us         4.26%       1.635ms      38.929us       0.000us         0.00%     270.000us       6.429us            42  
                                              aten::pow         2.51%     962.000us         3.79%       1.452ms      13.444us     193.000us         4.09%     240.000us       2.222us           108  
                                              aten::div         2.49%     955.000us         3.60%       1.381ms      10.960us     276.000us         5.85%     312.000us       2.476us           126  
                                          aten::reshape         0.88%     336.000us         3.06%       1.175ms       5.676us       0.000us         0.00%      85.000us       0.411us           207  
                                            aten::zero_         0.60%     231.000us         2.75%       1.056ms       8.000us       0.000us         0.00%     229.000us       1.735us           132  
