mean of forward measurement times = 0.112464
std. dev of forward measurement times = 0.156635
mean of backward measurement times = 0.003733
std. dev of backward measurement times = 0.001325
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          backward pass        28.69%      14.952ms        28.82%      15.018ms       5.006ms       0.000us         0.00%       3.000us       1.000us             3  
                                       cudaLaunchKernel        10.63%       5.539ms        10.63%       5.539ms       3.200us     379.000us         8.11%     379.000us       0.219us          1731  
                              Optimizer.step#AdamW.step         6.58%       3.428ms        25.53%      13.302ms       4.434ms       0.000us         0.00%       2.433ms     811.000us             3  
                                              aten::mul         6.49%       3.384ms        10.81%       5.635ms      10.227us       1.153ms        24.67%       1.260ms       2.287us           551  
                                           forward pass         3.71%       1.934ms        15.90%       8.285ms       2.762ms       0.000us         0.00%       1.000ms     333.333us             3  
                                               aten::mm         3.58%       1.867ms         5.12%       2.669ms      22.812us       1.019ms        21.80%       1.099ms       9.393us           117  
                                        aten::is_pinned         3.34%       1.740ms         3.36%       1.752ms     292.000us       0.000us         0.00%       0.000us       0.000us             6  
                                              aten::add         2.78%       1.450ms         4.67%       2.432ms      10.133us     472.000us        10.10%     515.000us       2.146us           240  
                                             cudaMalloc         2.02%       1.052ms         2.02%       1.052ms     116.889us       0.000us         0.00%       0.000us       0.000us             9  
                                              aten::pow         1.88%     981.000us         2.84%       1.479ms      13.694us     193.000us         4.13%     236.000us       2.185us           108  
                                              aten::div         1.83%     954.000us         2.69%       1.401ms      11.119us     268.000us         5.73%     295.000us       2.341us           126  
                                              aten::bmm         1.15%     600.000us         1.52%     793.000us      22.028us     225.000us         4.81%     231.000us       6.417us            36  
                                              aten::sum         1.10%     573.000us         1.51%     788.000us      12.508us     205.000us         4.39%     220.000us       3.492us            63  
                                    aten::empty_strided         0.91%     475.000us         1.12%     585.000us       4.535us       0.000us         0.00%       0.000us       0.000us           129  
                                    cudaLaunchKernelExC         0.87%     451.000us         0.87%     451.000us       3.341us      11.000us         0.24%      11.000us       0.081us           135  
                                            aten::fill_         0.85%     444.000us         1.72%     897.000us       6.362us     215.000us         4.60%     244.000us       1.730us           141  
                                            aten::copy_         0.84%     437.000us         1.78%     926.000us       9.957us     129.000us         2.76%     137.000us       1.473us            93  
                                             aten::sub_         0.78%     406.000us         1.35%     703.000us       6.167us     303.000us         6.48%     323.000us       2.833us           114  
                                        aten::transpose         0.77%     403.000us         0.83%     431.000us       1.545us       0.000us         0.00%       0.000us       0.000us           279  
                                            aten::empty         0.69%     358.000us         0.69%     358.000us       3.729us       0.000us         0.00%       0.000us       0.000us            96  
