mean of forward measurement times = 0.110074
std. dev of forward measurement times = 0.153300
mean of backward measurement times = 0.003471
std. dev of backward measurement times = 0.001459
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          backward pass        28.46%      14.998ms        28.58%      15.063ms       5.021ms       0.000us         0.00%       3.000us       1.000us             3  
                                         optimizer pass         0.17%      92.000us        25.18%      13.272ms       4.424ms       0.000us         0.00%       2.441ms     813.667us             3  
                              Optimizer.step#AdamW.step         6.67%       3.514ms        25.01%      13.180ms       4.393ms       0.000us         0.00%       2.441ms     813.667us             3  
                                           forward pass         3.77%       1.987ms        16.88%       8.897ms       2.966ms       0.000us         0.00%       1.007ms     335.667us             3  
                                       aten::pin_memory         0.04%      20.000us         3.54%       1.864ms     310.667us       0.000us         0.00%       0.000us       0.000us             6  
                                        aten::is_pinned         3.31%       1.742ms         3.33%       1.755ms     292.500us       0.000us         0.00%       0.000us       0.000us             6  
                                       loss computation         0.57%     302.000us         1.43%     752.000us     250.667us       0.000us         0.00%      58.000us      19.333us             3  
                                             cudaMalloc         1.82%     960.000us         1.82%     960.000us     106.667us       0.000us         0.00%       0.000us       0.000us             9  
                    Optimizer.zero_grad#AdamW.zero_grad         0.44%     233.000us         0.44%     233.000us      77.667us       0.000us         0.00%       0.000us       0.000us             3  
autograd::engine::evaluate_function: GatherBackward0...         0.05%      25.000us         0.37%     195.000us      65.000us       0.000us         0.00%       9.000us       3.000us             3  
      autograd::engine::evaluate_function: ErfBackward0         0.05%      25.000us         0.72%     382.000us      63.667us       0.000us         0.00%      36.000us       6.000us             6  
     autograd::engine::evaluate_function: MeanBackward0         0.08%      41.000us         0.36%     190.000us      63.333us       0.000us         0.00%       4.000us       1.333us             3  
                                           ErfBackward0         0.08%      43.000us         0.68%     357.000us      59.500us       0.000us         0.00%      36.000us       6.000us             6  
      autograd::engine::evaluate_function: BmmBackward0         0.14%      73.000us         1.35%     709.000us      59.083us       0.000us         0.00%     147.000us      12.250us            12  
       autograd::engine::evaluate_function: MmBackward0         0.34%     181.000us         4.20%       2.212ms      56.718us       0.000us         0.00%     611.000us      15.667us            39  
                                        GatherBackward0        -0.02%     -13.000us         0.32%     170.000us      56.667us       0.000us         0.00%       9.000us       3.000us             3  
      autograd::engine::evaluate_function: PowBackward0         0.22%     116.000us         1.58%     833.000us      55.533us       0.000us         0.00%      80.000us       5.333us            15  
                                           aten::matmul         0.63%     332.000us         5.33%       2.810ms      55.098us       0.000us         0.00%     609.000us      11.941us            51  
      autograd::engine::evaluate_function: MaxBackward0         0.13%      69.000us         0.91%     481.000us      53.444us       0.000us         0.00%      43.000us       4.778us             9  
