mean of forward measurement times = 0.104483
std. dev of forward measurement times = 0.145413
mean of backward measurement times = 0.003500
std. dev of backward measurement times = 0.001446
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                              Optimizer.step#AdamW.step         9.95%       3.418ms        38.74%      13.304ms       4.435ms       0.000us         0.00%       2.391ms     797.000us             3  
                                              aten::mul         9.98%       3.427ms        16.54%       5.680ms      10.271us       1.149ms        24.40%       1.263ms       2.284us           553  
                                       cudaLaunchKernel        16.36%       5.617ms        16.36%       5.617ms       3.245us     333.000us         7.07%     335.000us       0.194us          1731  
                                               aten::mm         5.35%       1.837ms         7.71%       2.647ms      22.624us       1.022ms        21.70%       1.097ms       9.376us           117  
                                              aten::add         4.14%       1.420ms         7.13%       2.447ms      10.196us     476.000us        10.11%     500.000us       2.083us           240  
                                           aten::matmul         0.79%     271.000us         6.85%       2.351ms      46.098us       0.000us         0.00%     608.000us      11.922us            51  
       autograd::engine::evaluate_function: MmBackward0         0.53%     181.000us         6.46%       2.219ms      56.897us       0.000us         0.00%     613.000us      15.718us            39  
                                            MmBackward0         0.70%     240.000us         5.93%       2.038ms      52.256us       0.000us         0.00%     613.000us      15.718us            39  
                                       aten::zeros_like         0.98%     338.000us         5.39%       1.851ms      16.237us       0.000us         0.00%     191.000us       1.675us           114  
                                           aten::linear         0.46%     159.000us         4.96%       1.702ms      43.641us       0.000us         0.00%     463.000us      11.872us            39  
      autograd::engine::evaluate_function: MulBackward0         0.88%     301.000us         4.74%       1.626ms      38.714us       0.000us         0.00%     275.000us       6.548us            42  
                                       aten::pin_memory         0.09%      30.000us         4.39%       1.507ms     251.167us       0.000us         0.00%       0.000us       0.000us             6  
                                              aten::pow         2.68%     922.000us         4.10%       1.409ms      13.046us     196.000us         4.16%     242.000us       2.241us           108  
                                        aten::is_pinned         3.99%       1.371ms         4.04%       1.386ms     231.000us       0.000us         0.00%       0.000us       0.000us             6  
                                              aten::div         2.70%     926.000us         3.93%       1.350ms      10.714us     273.000us         5.80%     299.000us       2.373us           126  
                                          aten::reshape         0.91%     311.000us         3.42%       1.175ms       5.676us       0.000us         0.00%      88.000us       0.425us           207  
                                             cudaMalloc         3.08%       1.058ms         3.08%       1.058ms     117.556us       0.000us         0.00%       0.000us       0.000us             9  
                                            aten::zero_         0.68%     232.000us         3.06%       1.050ms       7.955us       0.000us         0.00%     226.000us       1.712us           132  
                                            aten::clone         0.61%     210.000us         3.04%       1.045ms      17.417us       0.000us         0.00%     107.000us       1.783us            60  
                                       aten::empty_like         0.92%     316.000us         2.96%       1.017ms       5.746us       0.000us         0.00%       0.000us       0.000us           177  
