mean of forward measurement times = 0.106312
std. dev of forward measurement times = 0.147974
mean of backward measurement times = 0.003425
std. dev of backward measurement times = 0.001427
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          backward pass        28.65%      15.052ms        28.78%      15.117ms       5.039ms       0.000us         0.00%       3.000us       1.000us             3  
                                       cudaLaunchKernel        10.70%       5.623ms        10.70%       5.623ms       3.248us     377.000us         8.07%     377.000us       0.218us          1731  
                                              aten::mul         6.57%       3.450ms        10.85%       5.698ms      10.341us       1.150ms        24.60%       1.258ms       2.283us           551  
                              Optimizer.step#AdamW.step         6.46%       3.395ms        25.53%      13.409ms       4.470ms       0.000us         0.00%       2.430ms     810.000us             3  
                                           forward pass         3.77%       1.981ms        15.95%       8.380ms       2.793ms       0.000us         0.00%       1.003ms     334.333us             3  
                                               aten::mm         3.47%       1.824ms         5.02%       2.636ms      22.530us       1.019ms        21.80%       1.099ms       9.393us           117  
                                        aten::is_pinned         3.30%       1.731ms         3.32%       1.744ms     290.667us       0.000us         0.00%       0.000us       0.000us             6  
                                              aten::add         2.81%       1.478ms         4.72%       2.479ms      10.329us     476.000us        10.18%     518.000us       2.158us           240  
                                              aten::pow         1.89%     993.000us         2.78%       1.461ms      13.528us     194.000us         4.15%     237.000us       2.194us           108  
                                             cudaMalloc         1.89%     991.000us         1.89%     991.000us     110.111us       0.000us         0.00%       0.000us       0.000us             9  
                                              aten::div         1.83%     963.000us         2.63%       1.383ms      10.976us     266.000us         5.69%     293.000us       2.325us           126  
                                              aten::bmm         1.14%     598.000us         1.50%     787.000us      21.861us     226.000us         4.84%     232.000us       6.444us            36  
                                              aten::sum         1.09%     575.000us         1.51%     791.000us      12.556us     204.000us         4.36%     219.000us       3.476us            63  
                                    aten::empty_strided         0.92%     485.000us         1.11%     582.000us       4.512us       0.000us         0.00%       0.000us       0.000us           129  
                                            aten::fill_         0.87%     455.000us         1.74%     916.000us       6.496us     214.000us         4.58%     244.000us       1.730us           141  
                                    cudaLaunchKernelExC         0.86%     452.000us         0.86%     452.000us       3.348us      11.000us         0.24%      11.000us       0.081us           135  
                                            aten::copy_         0.83%     436.000us         1.74%     912.000us       9.806us     129.000us         2.76%     137.000us       1.473us            93  
                                        aten::transpose         0.81%     426.000us         0.87%     459.000us       1.645us       0.000us         0.00%       0.000us       0.000us           279  
                                       aten::zeros_like         0.71%     375.000us         3.56%       1.868ms      16.386us       0.000us         0.00%     181.000us       1.588us           114  
                                             aten::sub_         0.70%     368.000us         1.35%     711.000us       6.237us     301.000us         6.44%     321.000us       2.816us           114  
